Pattern,Problem,Difficulty,Approach,Data Structures,Time Complexity,Space Complexity,Key Insight
Longest Increasing Subsequence,Longest Increasing Subsequence,Medium,DP: O(n²) or Binary Search + Patience Sort: O(n log n),Array (DP) or Array + Binary Search,O(n²) DP / O(n log n) optimized,O(n),Track smallest tail for each length
Longest Increasing Subsequence,Number of Longest Increasing Subsequence,Medium,Track both length and count; update count when extending,"Two Arrays (length, count)",O(n²),O(n),Maintain count array alongside length array
Longest Increasing Subsequence,Vacation,Medium,State DP: dp[day][last_activity] = max happiness,2D Array,O(n * k) where k = activities,O(k) optimized,Can't repeat same activity consecutively
Grid-Based DP,Unique Paths,Medium,dp[i][j] = dp[i-1][j] + dp[i][j-1]; count paths from top-left,2D Array,O(m * n),O(n) optimized,Only move right or down; sum both directions
Grid-Based DP,Grid Paths,Medium,Similar to Unique Paths but handle obstacles/constraints,2D Array,O(m * n),O(m * n),Skip blocked cells; mark as 0 paths
Grid-Based DP,Minimum Path Sum (Grid 1),Medium,"dp[i][j] = grid[i][j] + min(dp[i-1][j], dp[i][j-1])",2D Array,O(m * n),O(n) optimized,Take minimum cost path at each cell
Interval DP,Burst Balloons,Hard,dp[i][j] = max coins from interval; try each balloon as last to burst,2D Array,O(n³),O(n²),Think backwards - which balloon bursts last?
Interval DP,Palindrome Partitioning II,Hard,dp[i] = min cuts for s[0..i]; check all palindrome substrings,Array + 2D isPalindrome table,O(n²),O(n²),Precompute palindrome checks; minimize cuts
Interval DP,Longest Palindromic Substring,Medium,Expand around center or dp[i][j] = is s[i..j] palindrome,2D Array or Two Pointers,O(n²),O(n²) DP / O(1) expand,Check all centers and expand outward
Tree DP,House Robber III,Medium,"Return {rob_root, skip_root}; compute for each subtree",Tree + Memoization Map,O(n),O(h) recursion depth,Can't rob adjacent nodes; track both states
Tree DP,Tree Matching,Hard,Max matching in tree; dp on subtrees with/without edge to parent,Tree + DP arrays,O(n),O(n),Independent set on tree structure
Tree DP,House Robber,Medium,"Linear array: dp[i] = max(rob[i] + dp[i-2], dp[i-1])",Array,O(n),O(1) optimized,Can't rob adjacent houses; track 2 states
Tree DP,House Robber II,Medium,Circular array: solve twice (exclude first or last house),Array,O(n),O(1),Break circle by solving two linear problems
Bitmasking/State Compression,Campus Bikes II,Medium,dp[mask] = min distance for assigned workers (bitmask),Array indexed by bitmask,O(2^n * n),O(2^n),Each bit represents worker assignment status
Bitmasking/State Compression,Partition to K Equal Sum Subsets,Medium,dp[mask] = can partition nums with used elements = mask,Array/Map indexed by bitmask,O(2^n * n),O(2^n),Bitmask tracks which elements are used
Bitmasking/State Compression,Traveling Salesman Problem,Hard,"dp[mask][i] = min cost visiting cities in mask, ending at i",2D Array [2^n][n],O(2^n * n²),O(2^n * n),Bitmask = visited cities; track current city
Digit DP,Numbers With Repeated Digits,Hard,Count valid numbers digit-by-digit with state tracking,Memoization Map + Bitmask,O(digits * 2^10 * 2),O(digits * 2^10),Track used digits with bitmask; handle tight bound
Digit DP,Removing Digits,Medium,dp[i] = min steps to reduce i to 0 by subtracting its digits,Array,O(n * log n),O(n),Extract all digits and try subtracting each
Digit DP,Sushi,Hard,Probabilistic DP with state compression for sushi counts,Map/Array with state tuple,O(n^4),O(n^3),Track count of each sushi type as state
Probability/Expectation DP,Dice Roll Simulation,Hard,dp[roll][last_digit][consecutive_count] = number of ways,3D Array or Memoization,O(n * 6 * maxRoll),O(n * 6 * maxRoll),Track last digit and consecutive count
Probability/Expectation DP,Candy Lottery,Medium,Calculate expected value of max of k dice rolls,Array for probabilities,O(n * k),O(n),Expected max = sum of probabilities
Probability/Expectation DP,Coins (Probability),Hard,dp[i][j] = probability of getting j heads in i flips,2D Array,O(n²),O(n²) or O(n) optimized,Combine probabilities from previous states
